Id,Like Count,Comment Count,retweet Count,View count,Title,countOfWords,countOfPositive,countOfNegative,C_Text__mysteries,C_Text__replying,T_Text__replying,T_Text__manchester,C_Text__manchester,T_Text__believe,T_Text__mark
70,54,6,35,3997,Science,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,22,8,19,2064,Science,43,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,540,37,225,11000,Science,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,390,6,59,12000,Science,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,13,16,5,2682,Science,10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,15,1,1,366,Science,39,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,15000,873,2407,760000,Science,23,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,7,1,4,415,Science,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,14,122,45,295,Science,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,137,8,7,9215,Science,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,122,0,248461,Science,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,24,1,21,356,Science,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,29,2,5,971,Science,42,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,10,0,1,1442,Science,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,197,9,2,6625,Science,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1266,84,119,29000,Science,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,41,9,3,1443,Science,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,35,122,13,3711,Science,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,23,6,27,14000,Science,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,8,1,1,116,Science,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,5,0,1,591,Science,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,3,122,2,28,Science,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,1,0,43,Science,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,20,1,3,456,Science,25,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,122,0,248461,Science,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,126,2,56,7503,Science,33,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,27,4,17,16000,Science,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,77,5,13,14000,Science,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16,2,5,2936,Science,13,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,10,122,1,302,Science,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,21,2,12,924,Science,42,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,11,5,2,298,Science,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,0,1,21,Science,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,11,122,7,223,Science,22,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,8,Science,47,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,13,4,1,784,Science,20,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,47,0,17,7314,Science,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1308,337,15,100000,Science,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,8,0,1,306,Science,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,0,0,13,Science,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,3,2,0,222,Science,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,7,1,16,3401,Science,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,12,122,1,163,Science,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,87,9,42,798,Science,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,218,5,76,10000,Science,41,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,211,19,60,18000,Science,21,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,7133,204,1534,158000,Science,44,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,460,21,217,8982,Science,25,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,66,6,5,2877,Science,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,57,5,32,922,Science,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16,4,3,392,Science,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,975,67,137,41000,Science,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,3,3,4,309,Science,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0,0,0,6,Art,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0,1,0,1,Art,41,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2,3,0,1,Art,19,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,3,122,0,33,Art,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,177,1,5,4356,Art,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,6,1,0,424,Art,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,328,24,42,7753,Art,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0,0,0,248461,Art,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0,122,0,0,Art,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0,0,0,12,Art,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,0,0,4,Art,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0,0,6,248461,Art,47,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,0,1,38,Art,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0,0,7,Art,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0,1,0,8,Art,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0,0,0,12,Art,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,122,0,38,Art,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0,0,0,1,Art,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,43,3,5,391,Art,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0,0,0,13,Art,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,1,0,33,Art,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0,0,1,959,Art,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,6,1,0,115,Art,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,25,1,15,792,Art,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,8,1,1,271,Art,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2,1,0,55,Art,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,30,2,1,1380,Art,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,1,0,217,Art,47,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,5,2,1,695,Art,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1,122,0,3,Art,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1,1,0,8,Art,31,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,12,1,5,1249,Art,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,102,491,538,248461,Art,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2,0,1,88,Art,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,14,122,4,246,Art,24,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,12,2,2,771,Art,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,178,9,0,6531,Art,24,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,80,1,4,1149,Art,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,50900,389,10500,3900000,Art,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,78900,993,14100,5900,Art,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,4039,8,835,124000,Art,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,7858,89,1247,724800,Art,24,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,19100,41,1757,452600,Art,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,813,28,159,16100,Art,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,14700,62,1380,467700,Art,21,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,9586,28,881,318100,Art,27,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,8963,65,1211,1600000,Art,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,46200,625,5182,6000000,Art,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,28100,108,2603,1300000,Art,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,6682,11,517,139800,Art,18,1,0,0.0,0.0,0.0,0.0,0.0,0.3716255791564238,0.0
173,20200,71,1302,879800,Art,20,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,8765,6,1165,240600,Art,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,770,7,125,15100,Art,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,24300,17,2884,551700,Art,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,821,3,78,73200,Art,22,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1542,83,153,94500,Art,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2208,240,463,740700,Art,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,301,113,35,10300,Art,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,467,122,166,7251,Art,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,95,2,18,3405,Art,13,1,0,0.0,0.0,0.0,0.0,0.0,0.5494325573037743,0.0
183,57,9,8,108,Art,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,331,5,40,6986,Art,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2164,6,526,112200,Art,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,108,122,29,2587,Art,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,71,2,6,2930,Art,19,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1,0,0,248461,Art,17,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0,0,0,248461,Art,30,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0,0,0,248461,Art,18,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0,0,0,1,Art,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0,1,0,3,Art,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,5,0,30,Art,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1,0,1,24,Art,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0,0,0,248461,Art,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0,1,0,27,Art,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1,0,0,29,Art,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0,0,0,25,Art,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0,0,0,17,Art,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2,1,2,159,Art,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,5,0,0,158,Art,19,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2,1,0,48,Art,17,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,16,1,5,459,Art,41,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1,0,0,22,Art,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0,0,0,23,Art,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,49,10,21,2596,Health,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,457,24,80,15000,Health,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,206,3,108,6393,Health,8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,222,14,267,10000,Health,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,3224,19,1019,175000,Health,39,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,385,16,192,27000,Health,28,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,178,15,67,11000,Health,47,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,851,132,426,65000,Health,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,77,40,26,2145,Health,30,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2733,98,895,141000,Health,36,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,43,21,10,1488,Health,29,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,86,5,18,1172,Health,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,1145,61,672,61000,Health,32,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,116,13,34,2326,Health,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,371,20,159,12000,Health,12,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,312,41,139,75000,Health,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,532,143,352,15000,Health,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,740,3,238,15000,Health,41,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,2082,3,588,59000,Health,50,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
225,83000,4820,19000,8000000,Health,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,82,16,35,7289,Health,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,749,35,103,14000,Health,38,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2406,75,710,229000,Health,38,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1059,9,117,19000,Health,55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,54,2,18,10000,Health,37,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,3557,120,573,57000,Health,21,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,425,4,56,9029,Health,44,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,3159,432,912,229000,Health,25,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,144,12,89,3636,Health,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,63,6,22,1708,Health,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,254,18,124,18000,Health,47,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,386,57,305,9844,Health,14,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,74,5,10,1341,Health,44,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,161,4,27,3091,Health,41,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,31,25,21,9876,Health,14,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1604,28,486,276000,Health,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,121,5,50,2296,Health,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,279,178,81,24000,Health,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2586,115,1241,115000,Health,22,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,15,32,4,10000,Health,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,91,1,40,6589,Health,39,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,699,398,132,87000,Health,44,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,103,17,11,2399,Health,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1330,44,925,92000,Health,53,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1468,49,800,51000,Health,24,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,162,14,54,5327,Health,39,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3173044392979179
252,1052,206,1428,2000000,Health,17,0,1,0.0,0.0,0.0,0.1569400211546716,1.0,0.0,0.0
253,35000,2495,9584,12000000,Sport,21,2,0,0.0,0.0,0.0,0.2932570082982547,1.0,0.0,0.0
254,23000,67,1038,511000,Sport,7,0,0,0.0,0.0,0.0,0.1052967477340399,1.0,0.0,0.0
255,3869,25,216,134000,Sport,45,0,0,0.0,0.0,0.0,0.1198122822201663,1.0,0.0,0.0
256,9084,109,432,584000,Sport,32,0,0,0.0,0.0,0.0,0.1152417204577434,1.0,0.0,0.0
257,21000,319,2915,921000,Sport,38,2,0,0.0,0.0,0.0,0.1848583698767609,1.0,0.0,0.0
258,2705,20,317,114000,Sport,24,0,0,0.0,0.0,0.0,0.1226843895362776,1.0,0.0,0.0
259,3102,46,378,356000,Sport,27,2,0,0.0,0.0,0.0,0.2342349663406323,1.0,0.0,0.0
260,2636,182,543,377000,Sport,10,1,0,0.0,0.0,0.0,0.1680332752393066,1.0,0.0,0.0
261,33000,123,2389,1000000,Sport,26,1,1,0.0,0.0,0.0,0.1962164938250503,1.0,0.0,0.0
262,1758,58,55,58000,Sport,22,2,0,0.0,0.0,0.0,0.1610713760341153,1.0,0.0,0.0
263,13000,92,920,355000,Sport,24,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,28000,261,1586,490000,Sport,2,1,0,0.0,0.0,0.0,0.1849890400776323,1.0,0.0,0.0
265,1019,150,301,527000,Sport,21,1,0,0.0,0.0,0.0,0.2717757398910109,1.0,0.0,0.0
266,36000,965,9536,2000000,Sport,10,0,0,0.0,0.0,0.0,0.239812361512303,1.0,0.0,0.0
267,8447,239,312,180000,Sport,10,2,0,0.0,0.0,0.0,0.2486131698212033,1.0,0.0,0.0
268,23000,87,765,636000,Sport,12,0,0,0.0,0.0,0.0,0.1990367064455993,1.0,0.0,0.0
269,1679,19,503,122000,Sport,14,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,10000,71,805,367000,Sport,9,1,0,0.0,0.0,0.0,0.2242991975138584,1.0,0.0,0.0
271,3846,80,246,173000,Sport,13,1,0,0.0,0.0,0.0,0.1964681911297203,1.0,0.0,0.0
272,15000,171,1172,340000,Sport,20,0,0,0.0,0.0,0.0,0.3772808415079289,1.0,0.0,0.0
273,5752,6,339,83000,Sport,4,0,0,0.0,0.0,0.0,0.114083410251469,1.0,0.0,0.0
274,2197,14,176,52000,Sport,35,2,0,0.0,0.0,0.0,0.1987895383359277,1.0,0.0,0.0
275,274,10,23,19000,Sport,20,2,0,0.0,0.0,0.0,0.0869253669132717,1.0,0.0,0.0
276,224,22,15,19000,Sport,57,1,2,0.0,0.0,0.0,0.1743487849460255,1.0,0.0,0.0
277,140,51,22,10000,Sport,18,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,12000,193,718,397000,Sport,12,0,0,0.0,0.0,0.0,0.1157965770266134,1.0,0.0,0.0
279,462,7,59,85000,Sport,43,0,2,0.0,0.0,0.0,0.2549789135311774,1.0,0.0,0.0
280,4506,104,212,250000,Sport,14,1,0,0.0,0.0,0.0,0.2209670337976048,2.0,0.0,0.0
